Time,Resistance(Ohm)
17:40:19.141,Short Circuit (0 ohm)
17:40:19.644,Short Circuit (0 ohm)
17:40:20.146,Short Circuit (0 ohm)
17:40:20.648,Short Circuit (0 ohm)
17:40:21.150,Short Circuit (0 ohm)
17:40:21.652,Short Circuit (0 ohm)
17:40:22.154,Short Circuit (0 ohm)
17:40:22.656,Short Circuit (0 ohm)
17:40:23.158,Short Circuit (0 ohm)
17:40:23.660,Short Circuit (0 ohm)
17:40:24.163,Short Circuit (0 ohm)
17:40:24.665,Short Circuit (0 ohm)
17:40:25.167,Short Circuit (0 ohm)
17:40:25.669,Short Circuit (0 ohm)
17:40:26.171,Short Circuit (0 ohm)
17:40:26.673,Short Circuit (0 ohm)
17:40:27.175,Short Circuit (0 ohm)
17:40:27.677,Short Circuit (0 ohm)
17:40:28.179,Short Circuit (0 ohm)
17:40:28.681,Short Circuit (0 ohm)
17:40:29.183,Short Circuit (0 ohm)
17:40:29.685,Short Circuit (0 ohm)
17:40:30.187,Short Circuit (0 ohm)
17:40:30.689,Short Circuit (0 ohm)
17:40:31.191,Short Circuit (0 ohm)
17:40:31.693,Short Circuit (0 ohm)
17:40:32.195,Short Circuit (0 ohm)
17:40:32.697,Short Circuit (0 ohm)
17:40:33.199,Short Circuit (0 ohm)
17:40:33.701,Short Circuit (0 ohm)
17:40:34.203,Short Circuit (0 ohm)
17:40:34.705,Short Circuit (0 ohm)
17:40:35.206,Short Circuit (0 ohm)
17:40:35.708,Short Circuit (0 ohm)
17:40:36.210,Short Circuit (0 ohm)
17:40:36.712,Short Circuit (0 ohm)
17:40:37.214,Short Circuit (0 ohm)
17:40:37.716,Short Circuit (0 ohm)
17:40:38.218,Short Circuit (0 ohm)
17:40:38.720,Short Circuit (0 ohm)
17:40:39.222,Short Circuit (0 ohm)
17:40:39.724,Short Circuit (0 ohm)
17:40:40.226,Short Circuit (0 ohm)
17:40:40.728,Short Circuit (0 ohm)
17:40:41.230,Short Circuit (0 ohm)
17:40:41.732,Short Circuit (0 ohm)
17:40:42.234,Short Circuit (0 ohm)
17:40:42.736,Short Circuit (0 ohm)
17:40:43.238,Short Circuit (0 ohm)
17:40:43.740,Short Circuit (0 ohm)
17:40:44.242,Short Circuit (0 ohm)
17:40:44.744,Short Circuit (0 ohm)
17:40:45.246,Short Circuit (0 ohm)
17:40:45.748,Short Circuit (0 ohm)
17:40:46.250,Short Circuit (0 ohm)
17:40:46.753,Short Circuit (0 ohm)
17:40:47.255,Short Circuit (0 ohm)
17:40:47.757,Short Circuit (0 ohm)
17:40:48.259,Short Circuit (0 ohm)
17:40:48.761,Short Circuit (0 ohm)
17:40:49.263,Short Circuit (0 ohm)
17:40:49.765,Short Circuit (0 ohm)
17:40:50.267,Short Circuit (0 ohm)
17:40:50.770,Short Circuit (0 ohm)
17:40:51.271,Short Circuit (0 ohm)
17:40:51.773,Short Circuit (0 ohm)
17:40:52.275,Short Circuit (0 ohm)
17:40:52.777,Short Circuit (0 ohm)
17:40:53.279,Short Circuit (0 ohm)
17:40:53.782,Short Circuit (0 ohm)
17:40:54.284,Short Circuit (0 ohm)
17:40:54.786,Short Circuit (0 ohm)
17:40:55.288,Short Circuit (0 ohm)
17:40:55.790,Short Circuit (0 ohm)
17:40:56.292,Short Circuit (0 ohm)
17:40:56.794,Short Circuit (0 ohm)
